route,date,day_of_week,days_prior,competitor_price,price,bookings,capacity,is_weekend
JFK-SFO,2026-05-15,4,89,324.83,252.69,200,200,0
LHR-DXB,2026-04-02,3,46,800.63,809.88,134,200,0
DXB-LHR,2026-04-08,2,52,741.32,671.21,171,200,0
LHR-DXB,2026-03-02,0,15,857.24,737.58,200,200,0
SFO-JFK,2026-02-16,0,1,607.99,574.89,163,200,0
LHR-JFK,2026-04-01,2,45,473.58,571.24,112,200,0
DXB-LHR,2026-05-03,6,77,789.98,772.41,153,200,1
LHR-JFK,2026-02-22,6,7,682.62,836.98,95,200,1
JFK-SFO,2026-04-21,1,65,297.84,360.69,97,200,0
LHR-JFK,2026-04-17,4,61,533.97,487.48,179,200,0
LHR-DXB,2026-04-11,5,55,913.5,704.31,200,200,1
DXB-LHR,2026-03-14,5,27,938.38,1009.07,124,200,1
LHR-JFK,2026-05-11,0,85,556.41,478.55,186,200,0
LHR-JFK,2026-04-24,4,68,506.65,517.94,134,200,0
LHR-DXB,2026-03-29,6,42,892.94,988.81,128,200,1
LHR-JFK,2026-04-27,0,71,541.92,504.14,189,200,0
JFK-SFO,2026-02-17,1,2,483.7,560.5,117,200,0
JFK-SFO,2026-04-20,0,64,302.48,257.22,192,200,0
LHR-JFK,2026-03-03,1,16,515.68,552.33,130,200,0
JFK-SFO,2026-02-28,5,13,385.45,345.65,187,200,1
LHR-DXB,2026-04-13,0,57,774.33,707.47,180,200,0
DXB-LHR,2026-03-10,1,23,724.96,739.1,135,200,0
LHR-DXB,2026-03-11,2,24,790.01,728.78,190,200,0
LHR-JFK,2026-02-20,4,5,645.62,758.7,111,200,0
SFO-JFK,2026-03-01,6,14,377.55,416.02,119,200,1
JFK-SFO,2026-02-22,6,7,467.22,512.27,118,200,1
JFK-SFO,2026-05-04,0,78,277.59,247.8,198,200,0
SFO-JFK,2026-03-16,0,29,329.1,367.67,116,200,0
JFK-SFO,2026-05-12,1,86,301.86,273.67,181,200,0
DXB-LHR,2026-02-23,0,8,800.69,887.53,124,200,0
LHR-DXB,2026-02-27,4,12,865.04,879.66,157,200,0
LHR-DXB,2026-02-23,0,8,922.62,886.25,155,200,0
SFO-JFK,2026-04-17,4,61,282.79,364.17,96,200,0
LHR-JFK,2026-05-14,3,88,505.96,547.11,132,200,0
LHR-JFK,2026-04-23,3,67,469.52,509.51,127,200,0
LHR-JFK,2026-05-05,1,79,521.87,575.7,115,200,0
DXB-LHR,2026-04-24,4,68,768.04,790.76,135,200,0
JFK-LHR,2026-02-18,2,3,705.19,830.7,102,200,0
JFK-SFO,2026-05-15,4,89,308.4,343.28,109,200,0
JFK-LHR,2026-03-20,4,33,491.29,531.63,134,200,0
JFK-LHR,2026-04-02,3,46,508.05,524.98,130,200,0
LHR-DXB,2026-03-17,1,30,781.52,604.43,200,200,0
SFO-JFK,2026-04-03,4,47,311.99,292.54,177,200,0
JFK-SFO,2026-02-23,0,8,357.81,332.28,175,200,0
SFO-JFK,2026-05-04,0,78,286.14,273.98,166,200,0
LHR-JFK,2026-03-26,3,39,570.54,559.09,146,200,0
LHR-DXB,2026-03-13,4,26,677.27,843.45,95,200,0
JFK-LHR,2026-04-19,6,63,644.21,544.02,200,200,1
JFK-LHR,2026-04-17,4,61,468.7,475.02,146,200,0
JFK-SFO,2026-03-15,6,28,397.57,373.41,165,200,1
JFK-SFO,2026-03-14,5,27,382.28,370.62,169,200,1
SFO-JFK,2026-05-06,2,80,291.54,304.06,143,200,0
JFK-LHR,2026-04-08,2,52,541.64,430.27,200,200,0
DXB-LHR,2026-03-20,4,33,809.5,725.8,174,200,0
LHR-DXB,2026-03-22,6,35,970.93,955.17,154,200,1
JFK-LHR,2026-02-19,3,4,680.9,837.86,98,200,0
DXB-LHR,2026-03-28,5,41,850.74,1047.93,98,200,1
LHR-JFK,2026-03-18,2,31,578.38,488.07,200,200,0
DXB-LHR,2026-04-19,6,63,909.22,857.03,154,200,1
LHR-JFK,2026-04-01,2,45,533.95,611.13,111,200,0
LHR-DXB,2026-03-13,4,26,720.84,791.08,124,200,0
LHR-JFK,2026-02-21,5,6,759.28,634.46,200,200,1
LHR-DXB,2026-04-18,5,62,924.46,767.15,200,200,1
JFK-SFO,2026-04-09,3,53,302.19,290.24,153,200,0
SFO-JFK,2026-03-10,1,23,319.55,297.95,157,200,0
LHR-JFK,2026-03-30,0,43,481.51,577.12,109,200,0
DXB-LHR,2026-05-05,1,79,690.81,731.38,122,200,0
JFK-LHR,2026-02-21,5,6,787.37,627.24,200,200,1
LHR-DXB,2026-04-02,3,46,691.7,694.69,157,200,0
SFO-JFK,2026-03-26,3,39,336.73,363.51,119,200,0
DXB-LHR,2026-05-14,3,88,776.06,670.4,200,200,0
LHR-DXB,2026-03-13,4,26,708.76,762.07,118,200,0
JFK-SFO,2026-02-17,1,2,477.53,495.73,126,200,0
SFO-JFK,2026-02-18,2,3,431.85,409.02,151,200,0
DXB-LHR,2026-04-28,1,72,706.76,793.54,129,200,0
SFO-JFK,2026-02-18,2,3,419.6,370.73,177,200,0
JFK-LHR,2026-03-03,1,16,568.91,612.2,141,200,0
DXB-LHR,2026-04-04,5,48,957.54,911.37,150,200,1
SFO-JFK,2026-03-11,2,24,320.21,313.7,168,200,0
JFK-SFO,2026-03-20,4,33,308.92,312.89,150,200,0
JFK-LHR,2026-02-17,1,2,807.59,868.48,130,200,0
LHR-DXB,2026-02-21,5,6,1091.94,932.33,200,200,1
DXB-LHR,2026-04-18,5,62,898.47,895.01,153,200,1
LHR-JFK,2026-03-05,3,18,517.3,624.18,101,200,0
SFO-JFK,2026-03-13,4,26,323.7,345.87,118,200,0
LHR-DXB,2026-04-15,2,59,779.43,849.12,131,200,0
LHR-JFK,2026-03-03,1,16,562.39,617.85,116,200,0
SFO-JFK,2026-02-21,5,6,464.38,521.01,124,200,1
LHR-DXB,2026-05-15,4,89,728.27,676.59,172,200,0
LHR-DXB,2026-03-17,1,30,791.56,722.26,184,200,0
DXB-LHR,2026-05-05,1,79,708.05,622.9,187,200,0
LHR-DXB,2026-05-08,4,82,778.24,649.69,200,200,0
LHR-DXB,2026-05-11,0,85,781.18,753.23,147,200,0
SFO-JFK,2026-03-29,6,42,391.01,423.9,128,200,1
LHR-DXB,2026-03-26,3,39,739.09,809.46,128,200,0
LHR-JFK,2026-03-14,5,27,690.75,739.42,125,200,1
SFO-JFK,2026-02-21,5,6,482.89,479.8,162,200,1
SFO-JFK,2026-04-06,0,50,321.38,264.41,200,200,0
LHR-JFK,2026-02-28,5,13,692.26,710.09,141,200,1
LHR-DXB,2026-03-01,6,14,1027.79,1100.43,122,200,1
DXB-LHR,2026-03-29,6,42,928.43,748.95,200,200,1
JFK-SFO,2026-04-28,1,72,336.52,322.43,168,200,0
DXB-LHR,2026-04-18,5,62,900.44,1029.84,108,200,1
LHR-DXB,2026-05-11,0,85,686.0,726.66,123,200,0
JFK-LHR,2026-02-18,2,3,787.44,777.7,148,200,0
JFK-SFO,2026-04-12,6,56,354.79,368.63,134,200,1
JFK-LHR,2026-03-23,0,36,508.04,508.15,134,200,0
JFK-LHR,2026-04-14,1,58,540.14,468.88,200,200,0
JFK-SFO,2026-04-29,2,73,302.8,277.82,171,200,0
SFO-JFK,2026-04-26,6,70,405.24,441.35,129,200,1
JFK-LHR,2026-04-05,6,49,613.35,571.91,185,200,1
LHR-JFK,2026-02-24,1,9,547.63,533.76,168,200,0
SFO-JFK,2026-04-27,0,71,279.4,345.22,95,200,0
JFK-SFO,2026-05-03,6,77,403.12,338.57,200,200,1
LHR-DXB,2026-04-02,3,46,746.01,702.01,156,200,0
DXB-LHR,2026-03-01,6,14,955.44,940.83,169,200,1
SFO-JFK,2026-03-29,6,42,410.19,445.24,137,200,1
LHR-DXB,2026-03-07,5,20,969.93,966.59,158,200,1
JFK-LHR,2026-02-20,4,5,682.42,708.84,135,200,0
LHR-DXB,2026-04-17,4,61,692.86,653.15,161,200,0
JFK-LHR,2026-05-11,0,85,484.68,593.43,109,200,0
SFO-JFK,2026-04-01,2,45,294.84,337.56,121,200,0
LHR-DXB,2026-03-27,4,40,676.41,620.37,192,200,0
SFO-JFK,2026-03-11,2,24,329.13,267.46,200,200,0
SFO-JFK,2026-02-22,6,7,440.55,371.79,200,200,1
JFK-SFO,2026-03-30,0,43,291.88,330.79,118,200,0
LHR-JFK,2026-05-02,5,76,671.1,522.9,200,200,1
JFK-SFO,2026-03-20,4,33,332.52,380.57,112,200,0
LHR-DXB,2026-03-13,4,26,774.07,655.37,200,200,0
JFK-LHR,2026-03-11,2,24,570.48,469.39,200,200,0
DXB-LHR,2026-03-26,3,39,691.49,635.09,176,200,0
JFK-SFO,2026-04-18,5,62,364.22,342.87,160,200,1
SFO-JFK,2026-05-15,4,89,291.56,277.86,155,200,0
JFK-SFO,2026-04-05,6,49,380.0,390.31,131,200,1
DXB-LHR,2026-03-25,2,38,691.26,746.16,126,200,0
LHR-DXB,2026-05-03,6,77,821.48,885.06,118,200,1
LHR-DXB,2026-05-03,6,77,946.52,733.05,200,200,1
SFO-JFK,2026-03-24,1,37,318.51,374.39,109,200,0
SFO-JFK,2026-04-29,2,73,283.22,270.68,171,200,0
JFK-SFO,2026-03-24,1,37,334.77,275.92,200,200,0
JFK-SFO,2026-04-02,3,46,312.54,282.57,187,200,0
DXB-LHR,2026-03-31,1,44,725.77,621.57,192,200,0
DXB-LHR,2026-03-11,2,24,787.69,618.55,200,200,0
DXB-LHR,2026-03-20,4,33,719.42,848.65,98,200,0
JFK-LHR,2026-03-15,6,28,650.18,609.3,165,200,1
JFK-LHR,2026-05-10,6,84,578.71,509.24,183,200,1
LHR-DXB,2026-04-27,0,71,667.21,583.38,200,200,0
JFK-LHR,2026-04-14,1,58,531.47,589.14,129,200,0
SFO-JFK,2026-03-21,5,34,365.73,400.66,117,200,1
DXB-LHR,2026-03-23,0,36,785.9,636.34,200,200,0
JFK-SFO,2026-03-10,1,23,302.39,265.36,178,200,0
DXB-LHR,2026-04-21,1,65,674.75,603.56,200,200,0
LHR-DXB,2026-03-23,0,36,719.66,636.61,198,200,0
LHR-DXB,2026-05-11,0,85,658.12,622.22,156,200,0
LHR-JFK,2026-03-05,3,18,507.09,489.63,175,200,0
LHR-DXB,2026-04-22,2,66,665.8,784.45,99,200,0
DXB-LHR,2026-03-24,1,37,776.19,791.35,134,200,0
LHR-JFK,2026-05-13,2,87,499.94,485.06,170,200,0
DXB-LHR,2026-03-08,6,21,879.06,839.61,151,200,1
SFO-JFK,2026-03-11,2,24,305.93,385.05,98,200,0
JFK-SFO,2026-05-02,5,76,404.0,332.14,200,200,1
LHR-DXB,2026-02-25,2,10,798.57,907.02,115,200,0
JFK-LHR,2026-02-24,1,9,563.82,618.27,134,200,0
LHR-DXB,2026-04-27,0,71,727.01,807.83,112,200,0
SFO-JFK,2026-05-10,6,84,368.09,386.18,147,200,1
LHR-JFK,2026-05-01,4,75,504.15,560.86,116,200,0
LHR-JFK,2026-05-10,6,84,585.72,572.53,148,200,1
JFK-LHR,2026-03-07,5,20,701.79,613.12,181,200,1
JFK-LHR,2026-05-07,3,81,553.93,531.23,164,200,0
SFO-JFK,2026-04-16,3,60,281.28,253.45,197,200,0
JFK-SFO,2026-03-04,2,17,357.34,339.43,174,200,0
SFO-JFK,2026-05-12,1,86,319.52,352.72,115,200,0
SFO-JFK,2026-02-16,0,1,639.67,572.56,194,200,0
SFO-JFK,2026-05-03,6,77,348.36,407.78,103,200,1
LHR-DXB,2026-03-29,6,42,798.03,778.64,156,200,1
SFO-JFK,2026-02-23,0,8,392.06,371.7,151,200,0
DXB-LHR,2026-04-06,0,50,709.62,826.83,102,200,0
LHR-JFK,2026-05-09,5,83,561.67,572.7,149,200,1
LHR-JFK,2026-03-25,2,38,487.74,590.72,102,200,0
JFK-SFO,2026-03-13,4,26,341.54,317.74,157,200,0
JFK-LHR,2026-05-16,5,90,614.82,553.89,173,200,1
SFO-JFK,2026-03-22,6,35,389.86,391.78,145,200,1
LHR-DXB,2026-03-09,0,22,750.84,629.09,200,200,0
SFO-JFK,2026-05-01,4,75,311.97,305.67,165,200,0
DXB-LHR,2026-02-26,3,11,811.86,818.39,154,200,0
JFK-LHR,2026-04-13,0,57,556.76,555.95,154,200,0
DXB-LHR,2026-05-09,5,83,938.88,867.8,170,200,1
LHR-DXB,2026-02-20,4,5,857.7,750.69,183,200,0
JFK-SFO,2026-02-17,1,2,498.58,473.16,150,200,0
JFK-SFO,2026-05-16,5,90,350.66,403.94,105,200,1
LHR-JFK,2026-04-11,5,55,652.74,718.0,125,200,1
LHR-DXB,2026-04-30,3,74,681.5,606.61,180,200,0
SFO-JFK,2026-05-11,0,85,327.83,329.18,157,200,0
DXB-LHR,2026-04-23,3,67,693.99,730.41,129,200,0
LHR-JFK,2026-04-16,3,60,482.2,490.95,134,200,0
LHR-DXB,2026-04-19,6,63,861.12,877.37,140,200,1
LHR-DXB,2026-03-28,5,41,826.3,778.46,177,200,1
LHR-JFK,2026-05-05,1,79,493.13,469.87,155,200,0
JFK-SFO,2026-04-08,2,52,290.83,255.9,176,200,0
JFK-SFO,2026-03-13,4,26,346.34,344.8,160,200,0
DXB-LHR,2026-02-23,0,8,822.04,928.3,118,200,0
JFK-SFO,2026-03-24,1,37,310.48,320.13,153,200,0
LHR-DXB,2026-04-28,1,72,727.64,748.47,141,200,0
JFK-LHR,2026-04-03,4,47,540.66,426.82,200,200,0
DXB-LHR,2026-03-27,4,40,708.06,819.24,118,200,0
SFO-JFK,2026-04-08,2,52,284.08,339.37,114,200,0
JFK-SFO,2026-03-11,2,24,340.82,289.46,200,200,0
LHR-JFK,2026-03-12,3,25,564.69,443.01,200,200,0
LHR-DXB,2026-03-11,2,24,700.8,752.74,118,200,0
SFO-JFK,2026-03-06,4,19,325.58,339.89,128,200,0
DXB-LHR,2026-04-10,4,54,709.87,764.76,121,200,0
JFK-SFO,2026-05-10,6,84,365.66,356.69,162,200,1
JFK-LHR,2026-02-20,4,5,731.31,542.12,200,200,0
SFO-JFK,2026-04-17,4,61,296.49,257.02,199,200,0
JFK-SFO,2026-04-15,2,59,339.01,311.71,194,200,0
SFO-JFK,2026-04-27,0,71,297.53,292.0,156,200,0
LHR-DXB,2026-03-25,2,38,662.45,653.79,147,200,0
JFK-LHR,2026-02-17,1,2,877.89,708.25,200,200,0
DXB-LHR,2026-02-17,1,2,1216.48,970.26,200,200,0
JFK-LHR,2026-04-04,5,48,674.19,658.53,169,200,1
JFK-SFO,2026-04-02,3,46,320.22,367.86,102,200,0
JFK-SFO,2026-03-17,1,30,328.69,321.72,155,200,0
SFO-JFK,2026-03-09,0,22,316.13,342.42,116,200,0
LHR-JFK,2026-03-16,0,29,539.71,499.63,185,200,0
JFK-LHR,2026-02-21,5,6,817.21,665.15,200,200,1
JFK-SFO,2026-05-14,3,88,333.69,356.94,142,200,0
LHR-DXB,2026-04-01,2,45,774.2,874.7,110,200,0
LHR-JFK,2026-03-25,2,38,506.0,557.59,113,200,0
LHR-JFK,2026-02-16,0,1,1051.6,1109.89,126,200,0
LHR-DXB,2026-05-15,4,89,683.57,818.42,107,200,0
JFK-LHR,2026-03-12,3,25,485.14,571.39,117,200,0
LHR-JFK,2026-03-04,2,17,552.59,632.11,121,200,0
JFK-SFO,2026-03-16,0,29,347.53,329.13,162,200,0
LHR-JFK,2026-02-18,2,3,697.93,852.64,94,200,0
JFK-SFO,2026-02-21,5,6,508.5,409.85,200,200,1
JFK-SFO,2026-02-17,1,2,458.69,564.32,96,200,0
LHR-DXB,2026-02-27,4,12,880.38,953.31,118,200,0
JFK-SFO,2026-04-04,5,48,359.64,382.86,135,200,1
SFO-JFK,2026-05-04,0,78,299.84,246.76,200,200,0
LHR-DXB,2026-04-15,2,59,736.34,801.3,115,200,0
DXB-LHR,2026-02-26,3,11,787.42,845.31,139,200,0
JFK-SFO,2026-04-18,5,62,391.95,344.31,196,200,1
DXB-LHR,2026-03-17,1,30,819.5,808.19,142,200,0
JFK-LHR,2026-04-13,0,57,541.56,570.03,125,200,0
SFO-JFK,2026-03-28,5,41,387.83,434.97,114,200,1
SFO-JFK,2026-04-27,0,71,309.69,287.45,162,200,0
JFK-SFO,2026-03-18,2,31,315.84,279.19,200,200,0
DXB-LHR,2026-03-24,1,37,665.5,684.74,130,200,0
DXB-LHR,2026-04-20,0,64,681.37,791.74,101,200,0
JFK-SFO,2026-03-10,1,23,326.22,333.68,136,200,0
LHR-JFK,2026-02-24,1,9,573.43,596.62,133,200,0
JFK-SFO,2026-04-15,2,59,305.4,333.52,119,200,0
LHR-DXB,2026-02-19,3,4,958.21,1123.84,100,200,0
SFO-JFK,2026-05-03,6,77,383.28,308.53,200,200,1
LHR-JFK,2026-02-27,4,12,597.03,687.41,111,200,0
JFK-SFO,2026-03-04,2,17,313.08,308.57,140,200,0
LHR-JFK,2026-05-05,1,79,468.06,426.97,195,200,0
DXB-LHR,2026-03-16,0,29,722.21,773.55,139,200,0
DXB-LHR,2026-03-24,1,37,707.59,705.96,156,200,0
JFK-LHR,2026-04-21,1,65,550.1,570.8,150,200,0
LHR-DXB,2026-02-23,0,8,801.36,871.42,129,200,0
SFO-JFK,2026-02-23,0,8,362.31,350.59,151,200,0
DXB-LHR,2026-04-12,6,56,844.98,730.27,200,200,1
JFK-LHR,2026-04-14,1,58,507.15,511.35,150,200,0
DXB-LHR,2026-02-20,4,5,998.29,886.56,181,200,0
DXB-LHR,2026-04-27,0,71,654.39,768.98,97,200,0
JFK-SFO,2026-03-06,4,19,351.62,320.7,173,200,0
DXB-LHR,2026-03-16,0,29,677.32,618.19,181,200,0
SFO-JFK,2026-03-04,2,17,301.69,315.13,143,200,0
LHR-JFK,2026-02-21,5,6,747.23,850.69,123,200,1
SFO-JFK,2026-04-29,2,73,338.45,322.24,151,200,0
JFK-LHR,2026-05-06,2,80,555.36,437.2,200,200,0
LHR-DXB,2026-04-02,3,46,669.85,633.36,172,200,0
LHR-DXB,2026-04-04,5,48,926.8,835.04,199,200,1
LHR-JFK,2026-05-11,0,85,561.14,491.7,175,200,0
JFK-LHR,2026-04-09,3,53,530.17,573.7,125,200,0
JFK-LHR,2026-05-12,1,86,478.45,501.81,136,200,0
SFO-JFK,2026-02-23,0,8,392.27,299.85,200,200,0
JFK-SFO,2026-05-03,6,77,357.2,431.73,104,200,1
JFK-LHR,2026-04-24,4,68,485.3,556.46,111,200,0
DXB-LHR,2026-02-26,3,11,886.56,976.65,129,200,0
JFK-LHR,2026-04-02,3,46,554.79,433.41,200,200,0
DXB-LHR,2026-04-23,3,67,723.26,642.72,199,200,0
JFK-SFO,2026-04-02,3,46,313.57,290.2,179,200,0
DXB-LHR,2026-05-06,2,80,785.21,594.59,200,200,0
LHR-JFK,2026-04-05,6,49,656.39,671.75,150,200,1
LHR-DXB,2026-03-03,1,16,730.21,873.04,106,200,0
SFO-JFK,2026-04-03,4,47,335.08,287.74,184,200,0
JFK-LHR,2026-03-07,5,20,696.94,768.87,125,200,1
SFO-JFK,2026-04-24,4,68,316.9,337.41,128,200,0
SFO-JFK,2026-04-15,2,59,317.4,287.19,182,200,0
JFK-LHR,2026-04-04,5,48,625.19,685.16,115,200,1
SFO-JFK,2026-03-28,5,41,389.56,378.92,165,200,1
DXB-LHR,2026-04-25,5,69,795.25,946.97,115,200,1
LHR-DXB,2026-03-12,3,25,711.2,731.36,154,200,0
LHR-JFK,2026-05-05,1,79,511.97,575.65,107,200,0
LHR-DXB,2026-04-19,6,63,801.76,756.46,172,200,1
DXB-LHR,2026-04-22,2,66,775.32,774.53,143,200,0
JFK-LHR,2026-04-05,6,49,672.53,631.67,185,200,1
LHR-JFK,2026-04-30,3,74,556.69,578.37,135,200,0
SFO-JFK,2026-04-28,1,72,288.16,306.84,143,200,0
JFK-SFO,2026-04-10,4,54,316.5,285.29,182,200,0
LHR-DXB,2026-04-25,5,69,805.33,1036.8,91,200,1
JFK-LHR,2026-05-01,4,75,531.03,533.27,137,200,0
JFK-LHR,2026-03-10,1,23,556.99,521.36,160,200,0
LHR-JFK,2026-03-11,2,24,585.79,573.01,150,200,0
JFK-SFO,2026-03-18,2,31,289.99,292.64,161,200,0
JFK-SFO,2026-04-06,0,50,337.58,346.96,152,200,0
LHR-DXB,2026-03-15,6,28,920.07,1062.83,106,200,1
DXB-LHR,2026-05-08,4,82,678.19,605.78,195,200,0
LHR-JFK,2026-04-03,4,47,506.94,602.5,96,200,0
LHR-JFK,2026-03-22,6,35,582.65,607.17,125,200,1
LHR-JFK,2026-02-22,6,7,793.81,851.03,134,200,1
LHR-DXB,2026-03-22,6,35,887.4,832.85,153,200,1
SFO-JFK,2026-03-09,0,22,307.33,325.91,131,200,0
SFO-JFK,2026-04-06,0,50,339.55,266.42,200,200,0
JFK-LHR,2026-03-22,6,35,612.56,661.85,129,200,1
JFK-SFO,2026-04-25,5,69,355.27,419.88,117,200,1
JFK-SFO,2026-04-12,6,56,338.57,434.5,97,200,1
LHR-DXB,2026-03-08,6,21,955.56,835.76,200,200,1
JFK-LHR,2026-04-22,2,66,548.36,570.26,134,200,0
LHR-DXB,2026-03-22,6,35,826.37,859.03,132,200,1
DXB-LHR,2026-05-10,6,84,910.46,911.41,145,200,1
SFO-JFK,2026-04-03,4,47,320.51,258.96,200,200,0
LHR-JFK,2026-04-03,4,47,559.27,536.83,168,200,0
JFK-LHR,2026-04-23,3,67,536.03,495.63,173,200,0
LHR-DXB,2026-02-24,1,9,786.22,906.17,104,200,0
JFK-LHR,2026-05-10,6,84,618.78,542.95,200,200,1
LHR-DXB,2026-04-23,3,67,654.78,786.85,108,200,0
JFK-LHR,2026-03-24,1,37,480.35,589.47,97,200,0
JFK-SFO,2026-05-01,4,75,311.06,276.39,197,200,0
JFK-LHR,2026-03-29,6,42,652.88,565.46,200,200,1
DXB-LHR,2026-05-08,4,82,745.89,798.37,130,200,0
DXB-LHR,2026-03-04,2,17,784.67,632.81,200,200,0
JFK-LHR,2026-02-28,5,13,732.18,763.98,148,200,1
LHR-JFK,2026-02-22,6,7,702.13,841.36,112,200,1
JFK-SFO,2026-04-12,6,56,360.74,391.74,116,200,1
LHR-DXB,2026-05-15,4,89,727.16,690.06,179,200,0
LHR-DXB,2026-02-26,3,11,786.36,694.99,183,200,0
LHR-JFK,2026-03-15,6,28,625.07,659.3,138,200,1
SFO-JFK,2026-05-03,6,77,386.83,331.64,200,200,1
JFK-SFO,2026-05-01,4,75,323.49,336.51,151,200,0
DXB-LHR,2026-02-26,3,11,863.45,745.91,200,200,0
LHR-DXB,2026-03-25,2,38,662.34,721.6,138,200,0
SFO-JFK,2026-03-27,4,40,344.14,351.89,130,200,0
JFK-LHR,2026-02-21,5,6,843.4,764.82,175,200,1
DXB-LHR,2026-02-19,3,4,893.8,951.88,140,200,0
LHR-JFK,2026-04-08,2,52,565.64,520.55,192,200,0
DXB-LHR,2026-02-24,1,9,779.46,854.61,114,200,0
SFO-JFK,2026-03-09,0,22,355.52,324.52,184,200,0
JFK-LHR,2026-05-03,6,77,641.99,662.63,126,200,1
SFO-JFK,2026-05-07,3,81,309.24,248.06,200,200,0
JFK-LHR,2026-03-11,2,24,521.02,640.42,99,200,0
JFK-SFO,2026-02-26,3,11,341.45,363.27,143,200,0
SFO-JFK,2026-04-29,2,73,291.66,364.49,99,200,0
LHR-JFK,2026-04-01,2,45,495.46,607.36,96,200,0
JFK-SFO,2026-04-24,4,68,293.05,360.03,107,200,0
JFK-LHR,2026-04-12,6,56,638.89,640.73,134,200,1
